Country,Region
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
Angola,Sub-Saharan Africa
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Belize,Latin America & Caribbean
Benin,Sub-Saharan Africa
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America & Caribbean
China,East Asia & Pacific
Colombia,Latin America & Caribbean
Congo (Brazzaville),Sub-Saharan Africa
Congo (Kinshasa),Sub-Saharan Africa
Costa Rica,Latin America & Caribbean
Croatia,Europe & Central Asia
Cyprus,Europe & Central Asia
Czech Republic,Europe & Central Asia
Denmark,Europe & Central Asia
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
Egypt,Middle East & North Africa
El Salvador,Latin America & Caribbean
Estonia,Europe & Central Asia
Ethiopia,Sub-Saharan Africa
Finland,Europe & Central Asia
France,Europe & Central Asia
Gabon,Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Greece,Europe & Central Asia
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Haiti,Latin America & Caribbean
Honduras,Latin America & Caribbean
Hong Kong,East Asia & Pacific
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
India,South Asia
Indonesia,East Asia & Pacific
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Israel,Middle East & North Africa
Italy,Europe & Central Asia
Ivory Coast,Sub-Saharan Africa
Jamaica,Latin America & Caribbean
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kosovo,Europe & Central Asia
Kuwait,Middle East & North Africa
Kyrgyzstan,Europe & Central Asia
Laos,East Asia & Pacific
Latvia,Europe & Central Asia
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
Macedonia,Europe & Central Asia
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Mali,Sub-Saharan Africa
Malta,Europe & Central Asia
Mauritania,Middle East & North Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America & Caribbean
Moldova,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nepal,South Asia
Netherlands,Europe & Central Asia
New Zealand,East Asia & Pacific
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Northern Cyprus,Middle East & North Africa
Norway,Europe & Central Asia
Pakistan,South Asia
Palestinian Territories,Middle East & North Africa
Panama,Latin America & Caribbean
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Qatar,Middle East & North Africa
Romania,Europe & Central Asia
Russia,Europe & Central Asia
Rwanda,Sub-Saharan Africa
Saudi Arabia,Middle East & North Africa
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia & Pacific
Slovakia,Europe & Central Asia
Slovenia,Europe & Central Asia
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Korea,East Asia & Pacific
South Sudan,Sub-Saharan Africa
Spain,Europe & Central Asia
Sri Lanka,South Asia
Sudan,Sub-Saharan Africa
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syria,Middle East & North Africa
Taiwan,East Asia & Pacific
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Togo,Sub-Saharan Africa
Trinidad & Tobago,Latin America & Caribbean
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,North America
Uruguay,Latin America & Caribbean
Uzbekistan,Europe & Central Asia
Venezuela,Latin America & Caribbean
Vietnam,East Asia & Pacific
Yemen,Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
